ICAO;Type;ICAO-Type;W;C;AWC;Model
;;;;;;ROBIN, R-3000
R300;Fixed-wing;1P/S;Light;F;I;ROBIN, R-3100
;;;;;;ROBIN, R-3120
;;;;;;ROBIN, R-3140
;;;;;;SIKORSKY, H-4 Hoverfly
R4;Helicopter;1P/S;Light;F;I;SIKORSKY, Hoverfly
;;;;;;SIKORSKY, R-4 Hoverfly
;;;;;;ROBINSON, Astro
;;;;;;ROBINSON, Clipper
R44;Helicopter;1P/S;Light;F;I;ROBINSON, R-44 Astro ROBINSON, R-44 Clipper
;;;;;;ROBINSON, R-44 Raven
;;;;;;ROBINSON, Raven
R66;Helicopter;1T/S;Light;F;I;ROBINSON, R-66
R721;Fixed-wing;3J/L;Medium;D;III;BOEING, 727-100RE Super 27 BOEING, Super 27 (100)
R722;Fixed-wing;3J/L;Medium;D;III;BOEING, 727-200RE Super 27 BOEING, Super 27 (200)
R90F;Fixed-wing;1P/S;Light;F;I;RUSCHMEYER, R-90-230FG
R90R;Fixed-wing;1P/S;Light;F;I;RUSCHMEYER, MF-85 RUSCHMEYER, R-90-230RG
R90T;Fixed-wing;1T/S;Light;F;I;RUSCHMEYER, R-90-420AT
;;;;;;ADAM (1), Loisirs
;;;;;;ADAM (1), RA-14 Loisirs
;;;;;;FALCONAR, AMF-S14 Maranda
RA14;Fixed-wing;1P/S;Light;F;I;FALCONAR, Maranda MARANDA, BM-1 Loisirs
;;;;;;MARANDA, BM-1 Super Loisirs
;;;;;;MARANDA, Loisirs
;;;;;;MARANDA, Super Loisirs
RA17;Fixed-wing;1P/S;Light;F;I;ADAM (1), RA-17 MARANDA, BM-3
RAF2;Gyrocopter;1P/S;Light;F;I;ROTARY AIR FORCE, RAF-2000
RAID;Fixed-wing;1P/S;Light;F;I;SKY RAIDER, Super Sky Raider
RAIL;Fixed-wing;1P/S;Light;F;I;AEROSPORT, Rail
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
RALL;Fixed-wing;1P/S;Light;F;I;3
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
RANG;Fixed-wing;1P/S;Light;F;I;1
RARO;Fixed-wing;1P/S;Light;F;I;
RAV3;Fixed-wing;1P/S;Light;F;I;
RAV5;Fixed-wing;1P/S;Light;F;I;
RAZM;Fixed-wing;1P/S;Light;F;I;
RBEL;Fixed-wing;1P/S;Light;F;I;
RC3;@Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
RC70;Fixed-wing;2P/S;Light;F;II;
;;;;;;
;;;;;;
RD03;Fixed-wing;1P/S;Light;F;I;
;;;;;;
RD20;Fixed-wing;1P/S;Light;F;I;
;;;;;;
RDH2;Fixed-wing;1P/S;Light;F;I;
;;;;;;
RELI;Fixed-wing;1P/S;Light;F;I;3
;;;;;;
RENE;Fixed-wing;1P/S;Light;F;I;
REV6;Gyrocopter;1T/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
RF10;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
RF3;Fixed-wing;1P/S;Light;F;I;
;;;;;;
RF4;Fixed-wing;1P/S;Light;F;I;
;;;;;;
RF47;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
RF5;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
RF6;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
RF9;Fixed-wing;1P/S;Light;F;I;
;;;;;;
RFAL*;Fixed-wing;2J/L;Medium;E;III;
;;;;;;
;;;;;;
RGNT;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
RJ03;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
RJ1H;Fixed-wing;4J/L;Medium;E;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
RJ70;Fixed-wing;4J/L;Medium;E;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
RJ85;Fixed-wing;4J/L;Medium;E;III;7
;;;;;;
;;;;;;
RK5;Fixed-wing;1P/S;Light;F;I;
;;;;;;
RLU1;Fixed-wing;1P/S;Light;F;I;
;;;;;;
RMOU;Helicopter;1T/S;Light;F;I;
RNGR;Fixed-wing;1P/S;Light;F;I;
ROAR;Fixed-wing;1R/S;Light;F;III;
;;;;;;
RODS;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
ROND;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
ROSE;Fixed-wing;1P/S;Light;F;I;
RP1;Helicopter;2T/S;Light;F;I;
;;;;;;
RPUP;Gyrocopter;1P/S;Light;F;I;
;;;;;;
;;;;;;
RS12;Fixed-wing;1P/S;Light;F;I;
;;;;;;
RS18;Fixed-wing;1P/S;Light;F;I;
RS20;Fixed-wing;1P/S;Light;F;I;
RTA4;Fixed-wing;1P/S;Light;F;I;
RUBI;Fixed-wing;1P/S;Light;F;I;
RV10;Fixed-wing;1P/S;Light;F;I;
RV12;Fixed-wing;1P/S;Light;F;I;
RV14;Fixed-wing;1P/S;Light;F;I;
RV3;Fixed-wing;1P/S;Light;F;I;
RV4;Fixed-wing;1P/S;Light;F;I;
RV4T;Fixed-wing;1T/S;Light;F;I;
;;;;;;
RV6;Fixed-wing;1P/S;Light;F;I;
;;;;;;
RV7;Fixed-wing;1P/S;Light;F;I;
RV8;Fixed-wing;1P/S;Light;F;I;
RV9;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
RVAL;Helicopter;2T/S+;Medium;F;I;
;;;;;;
;;;;;;
RW19;Fixed-wing;1P/S;Light;F;I;
RW20;Fixed-wing;1P/S;Light;F;I;
RW22;Fixed-wing;1P/S;Light;F;I;
RW26;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
RW3;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
RYSA;Fixed-wing;2T/S+;Light;F;III;
;;;;;;
;;;;;;
RYST;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
S05F;Fixed-wing;1P/S;Light;F;I;
;;;;;;
S05R;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S1;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S10;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
S107;$Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
S108;Fixed-wing;1P/S;Light;F;I;2
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S10S;Fixed-wing;1P/S;Light;F;I;
;;;;;;
S11;Fixed-wing;1P/S;Light;F;I;
S12;@Fixed-wing;1P/S;Light;F;I;
S122;Fixed-wing;2P/S;Light;F;II;
S12S;Fixed-wing;1P/S;Light;F;I;
S15S;Fixed-wing;1P/S;Light;F;I;
;;;;;;
S15U;Fixed-wing;1P/ NOWGT;Light;NOWGT;I;
;;;;;;
S200;Fixed-wing;1J/S;Light;F;III;
S202;@Fixed-wing;2P/S;Light;F;II;
S208;Fixed-wing;1P/S;Light;F;I;
S21;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
S210;Fixed-wing;2J/L;Medium;D;III;8
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S211*;Fixed-wing;1J/S;Light;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S223;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S22T;Fixed-wing;1P/S;Light;F;I;
S274;Helicopter;1T/S;Light;F;I;
S278;Helicopter;1T/S;Light;F;I;
S285;Helicopter;1T/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S2P;Fixed-wing;2P/S+;Medium;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S2T;Fixed-wing;2T/S+;Medium;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S3;Fixed-wing;2J/L;Medium;E;III;
;;;;;;
;;;;;;
S32E;Fixed-wing;1E/S;Light;F;I;
S32M;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
S330;Helicopter;1T/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
S360;Helicopter;1T/S;Light;F;I;
;;;;;;
;;;;;;
S37*;Fixed-wing;2J/L;Medium;E;III;
;;;;;;
S38;@Fixed-wing;2P/S;Light;F;II;
S39;@Fixed-wing;1P/S;Light;F;I;
S4;Fixed-wing;1P/S;Light;F;I;
S400;$Fixed-wing;2P/S;Light;F;II;
S434;Helicopter;1T/S;Light;F;I;
S45;Fixed-wing;1P/S;Light;F;I;
S450;Fixed-wing;1P/S;Light;F;I;
;;;;;;
S51;Helicopter;1P/S;Light;F;I;
;;;;;;
S51D;Fixed-wing;1P/S;Light;F;I;
;;;;;;
S52;Helicopter;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S55P;Helicopter;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S55T;Helicopter;1T/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S58P;Helicopter;1P/S+;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S58T;Helicopter;1T/S+;Light;F;I;
;;;;;;
S6;Fixed-wing;1P/S;Light;F;I;
S601;Fixed-wing;2J/S+;Light;F;III;5
;;;;;;AGUSTA, AS-61A
;;;;;;AGUSTA, AS-61N
;;;;;;AGUSTA, ASH-61
;;;;;;AGUSTA, SH-3
;;;;;;HELIPRO, S-61 Shortsky
;;;;;;HELIPRO, Shortsky
;;;;;;MITSUBISHI, HSS-2
;;;;;;MITSUBISHI, S-61A
;;;;;;MITSUBISHI, S-61B
;;;;;;SIKORSKY, CH-124 Sea King
;;;;;;SIKORSKY, HSS-2 Sea King
;;;;;;SIKORSKY, Nuri
;;;;;;SIKORSKY, S-61A
S61;Helicopter;2T/S+;Medium;F;I;SIKORSKY, S-61A Nuri
;;;;;;SIKORSKY, S-61B
;;;;;;SIKORSKY, S-61D
;;;;;;SIKORSKY, S-61L
;;;;;;SIKORSKY, S-61N
;;;;;;SIKORSKY, Sea King
;;;;;;SIKORSKY, SH-3 Sea King
;;;;;;SIKORSKY, UH-3 Sea King
;;;;;;SIKORSKY, VH-3 Sea King
;;;;;;UNITED CANADA, CH-124 Sea King
;;;;;;WESTLAND, Commando
;;;;;;WESTLAND, Sea King
;;;;;;WESTLAND, WS-61 Commando
;;;;;;WESTLAND, WS-61 Sea King
;;;;;;AGUSTA, AS-61R
;;;;;;AGUSTA, HH-3
;;;;;;SIKORSKY, CH-3
S61R;Helicopter;2T/S+;Medium;F;I;SIKORSKY, HH-3
;;;;;;SIKORSKY, HH-3 Pelican
;;;;;;SIKORSKY, Pelican
;;;;;;SIKORSKY, S-61R
;;;;;;SIKORSKY, HH-52 Seaguard
S62;Helicopter;1T/S;Light;F;I;SIKORSKY, S-62
;;;;;;SIKORSKY, Seaguard
;;;;;;SIKORSKY, CH-54 Tarhe
S64;Helicopter;2T/L;Medium;E;I;SIKORSKY, S-64 Skycrane SIKORSKY, Skycrane
;;;;;;SIKORSKY, Tarhe
S65C;Helicopter;2T/S;Light;F;I;AEROSPATIALE, Dauphin 2 (SA-365C) AEROSPATIALE, SA-365C Dauphin 2
;;;;;;KEYSTONE, S-76
;;;;;;SIKORSKY, AUH-76
;;;;;;SIKORSKY, Eagle
S76;Helicopter;2T/S;Light;F;I;SIKORSKY, H-76 Eagle
;;;;;;SIKORSKY, S-76
;;;;;;SIKORSKY, S-76 Spirit
;;;;;;SIKORSKY, Spirit
;;;;;;SIPA, S-901
S900;Fixed-wing;1P/S;Light;F;I;SIPA, S-902 SIPA, S-903
;;;;;;SIPA, S-904
;;;;;;SIKORSKY, CH-148 Cyclone
;;;;;;SIKORSKY, Cyclone
S92;Helicopter;2T/S+;Medium;F;I;SIKORSKY, H-92 Superhawk SIKORSKY, Helibus
;;;;;;SIKORSKY, S-92 Helibus
;;;;;;SIKORSKY, Superhawk
S97;Helicopter;1T/S;Light;F;I;SIKORSKY, Raider SIKORSKY, S-97 Raider
SA02;Fixed-wing;1P/S;Light;F;I;K & S, Cavalier (SA-102.5) K & S, SA-102.5 Cavalier
SA03;Fixed-wing;1P/S;Light;F;I;K & S, Cavalier (SA-103) K & S, SA-103 Cavalier
SA04;Fixed-wing;1P/S;Light;F;I;K & S, Cavalier (SA-104) K & S, SA-104 Cavalier
SA05;Fixed-wing;1P/S;Light;F;I;K & S, SA-105 Super Cavalier K & S, Super Cavalier
SA10;Fixed-wing;1P/S;Light;F;I;STOLP, SA-100 Starduster STOLP, Starduster
SA11;Fixed-wing;1P/S;Light;F;I;STITS, Playmate STITS, SA-11 Playmate
;;;;;;ICP, Rampage
SA2;Fixed-wing;1P/S;Light;F;I;ICP, SA-2 Rampage ICP, SA-2 Vimana
;;;;;;ICP, Vimana
SA20;@Fixed-wing;1P/S;Light;F;I;BERIEV, SA-20
SA3;Fixed-wing;1P/S;Light;F;I;STITS, Playboy STITS, SA-3 Playboy
SA30;Fixed-wing;1P/S;Light;F;I;STOLP, SA-300 Starduster Too STOLP, Starduster Too
;;;;;;SCHWEIZER, Condor
SA37;Fixed-wing;1P/S;Light;F;I;SCHWEIZER, RG-8 Condor
;;;;;;SCHWEIZER, SA-2-37 Condor
;;;;;;SCHWEIZER, RU-38A Twin Condor
SA38;Fixed-wing;2P/S;Light;F;II;SCHWEIZER, SA-2-38A Twin Condor
;;;;;;SCHWEIZER, Twin Condor (piston)
SA50;Fixed-wing;1P/S;Light;F;I;STOLP, SA-500 Starlet STOLP, Starlet
SA6;Fixed-wing;1P/S;Light;F;I;STITS, Flut-R-Bug STITS, SA-6 Flut-R-Bug
SA6E;Fixed-wing;1T/S;Light;F;I;SREYA, Envoy SREYA, SA-6 Envoy
SA7;Fixed-wing;1P/S;Light;F;I;STITS, SA-7 Sky-Coupe STITS, Sky-Coupe
SA70;Fixed-wing;1P/S;Light;F;I;STOLP, Acroduster STOLP, SA-700 Acroduster
SA75;Fixed-wing;1P/S;Light;F;I;STOLP, Acroduster Too STOLP, SA-750 Acroduster Too
;;;;;;SCHWEIZER, RU-38B Twin Condor
SA8T;Fixed-wing;2T/S;Light;F;II;SCHWEIZER, SA-2-38B Twin Condor
;;;;;;SCHWEIZER, Twin Condor (turbine)
SAB2;Fixed-wing;1P/S;Light;F;I;ARNET PEREYRA, Sabre 2 KEUTHAN, Sabre 2
SABA;Fixed-wing;1P/S;Light;F;I;PARAVAR PARS, Saba
;;;;;;ACE, Super Ace
SACE;Fixed-wing;1P/S;Light;F;I;ACRO SPORT, Super Ace CORBEN, Super Ace
;;;;;;POBER, Super Ace
SACR;Fixed-wing;1P/S;Light;F;I;SMITH (3), Acro Advanced
SAFF;Fixed-wing;1P/S;Light;F;I;HALSTED, Saffire
SAH1;Fixed-wing;1P/S;Light;F;I;FLS, Sprint TRAGO MILLS, SAH-1
SAKO;Fixed-wing;1P/S;Light;F;I;RANS, S-10 Sakota RANS, Sakota
SALB;Fixed-wing;1P/S;Light;F;I;SKYGEAR, Albatross
SAM;Fixed-wing;1P/S;Light;F;I;SAM AIRCRAFT, Sam
SAND;$Fixed-wing;4P/L;Medium;D;III;SHORT, S-25 Sandringham SHORT, Sandringham
SAPH;Fixed-wing;1P/S;Light;F;I;PIEL, CP-1320 Saphir PIEL, Saphir
SASH;Fixed-wing;2P/S;Light;F;II;SHARK AIRCRAFT, Shark
SASP;Fixed-wing;1P/S;Light;F;I;SUPERMARINE AIRCRAFT, Spitfire Mk25 SUPERMARINE AIRCRAFT, Spitfire Mk26
;;;;;;PROTECH, ProStar
SASY;Fixed-wing;1P/S;Light;F;I;PROTECH, PT-2 ProStar PROTECH, PT-2 Sassy
;;;;;;PROTECH, Sassy
;;;;;;CASA, HA-220 Super Saeta
;;;;;;CASA, Super Saeta
SATA*;Fixed-wing;2J/S;Light;F;III;HISPANO, HA-200 Saeta HISPANO, HA-220 Super Saeta
;;;;;;HISPANO, Saeta
;;;;;;HISPANO, Super Saeta
SAVA;Fixed-wing;1P/S;Light;F;I;SADLER, Vampire
;;;;;;ALMS, Callao
SAVG;Fixed-wing;1P/S;Light;F;I;RUSSO, Savage
;;;;;;ZLIN AVIATION, Savage
SB05*;Fixed-wing;2J/S;Light;F;III;SAAB, 105 SAAB, Sk60
SB20;Fixed-wing;2T/L;Medium;E;III;SAAB, 2000
SB29*;Fixed-wing;1J/S+;Medium;F;III;SAAB, 29 SAAB, J29
;;;;;;SAAB, 32 Lansen
SB32*;Fixed-wing;1J/S+;Medium;F;III;SAAB, J32 Lansen
;;;;;;SAAB, Lansen
;;;;;;SAAB, 35 Draken
;;;;;;SAAB, Draken
;;;;;;SAAB, F-35 Draken
;;;;;;SAAB, J35 Draken
SB35*;Fixed-wing;1J/S+;Medium;F;III;SAAB, RF-35 Draken
;;;;;;SAAB, Sk35 Draken
;;;;;;SAAB, TF-35 Draken
;;;;;;VALMET, 35 Draken
;;;;;;VALMET, Draken
;;;;;;SAAB, 37 Viggen
;;;;;;SAAB, AJ37 Viggen
;;;;;;SAAB, AJS37 Viggen
SB37*;Fixed-wing;1J/L;Medium;E;III;SAAB, JA37 Viggen SAAB, SF37 Viggen
;;;;;;SAAB, SH37 Viggen
;;;;;;SAAB, Sk37 Viggen
;;;;;;SAAB, Viggen
;;;;;;SAAB, 39 Gripen
SB39*;Fixed-wing;1J/S+;Medium;F;III;SAAB, Gripen
;;;;;;SAAB, JAS39 Gripen
SB7;Fixed-wing;1P/S;Light;F;I;SEABIRD, SB-7 Seeker SEABIRD, Seeker
;;;;;;DE SCHELDE, 91 Safir
;;;;;;DE SCHELDE, Safir
SB91;Fixed-wing;1P/S;Light;F;I;DE SCHELDE, Sk50 Safir SAAB, 91 Safir
;;;;;;SAAB, Safir
;;;;;;SAAB, Sk50 Safir
;;;;;;DOUGLAS, A-24 Dauntless
SBD;Fixed-wing;1P/S;Light;F;I;DOUGLAS, Dauntless
;;;;;;DOUGLAS, SBD Dauntless
SBLS;Fixed-wing;2P/S;Light;F;II;SLIPSTREAM, SkyBlaster
SBM3;Fixed-wing;1P/S;Light;F;I;E & K, Kos E & K, SBM-03 Kos
SBOY;Fixed-wing;1P/S;Light;F;I;INTERPLANE, Skyboy
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
SBR1;Fixed-wing;2J/S+;Medium;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
SBR2;Fixed-wing;2J/S+;Medium;F;III;
;;;;;;
;;;;;;
;;;;;;
SC01;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
SC7;Fixed-wing;2T/S+;Light;F;III;2
;;;;;;
SCAM;Fixed-wing;1P/S;Light;F;I;
SCEP;Fixed-wing;1P/S;Light;F;I;
SCII;Gyrocopter;1P/S;Light;F;I;
SCOM;Fixed-wing;1P/S;Light;F;I;
SCOR;Helicopter;1P/S;Light;F;I;
SCOU;Helicopter;1T/S;Light;F;I;
SCRO;Fixed-wing;1P/S;Light;F;I;
SCTR;Fixed-wing;1P/S;Light;F;I;
SCUB;Fixed-wing;1P/S;Light;F;I;
SCW1;Fixed-wing;1P/S;Light;F;I;
SD26;Fixed-wing;1P/S;Light;F;I;
SD4;Fixed-wing;1P/S;Light;F;I;
SDUS;Fixed-wing;1P/S;Light;F;I;
SE5A;Fixed-wing;1P/S;Light;F;I;
SE5R;Fixed-wing;1P/S;Light;F;I;
SEAT;@Fixed-wing;1T/S;Light;F;I;
SEAW;@Fixed-wing;1P/S;Light;F;I;
SERA;Fixed-wing;1P/S;Light;F;I;
SEST;@Fixed-wing;1T/S;Light;F;I;
;;;;;;
;;;;;;
SF2;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
SF23;Fixed-wing;1P/S;Light;F;I;
SF24;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
SF25;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
SF27;Fixed-wing;1P/S;Light;F;I;
SF28;Fixed-wing;1P/S;Light;F;I;
SF31;Fixed-wing;1P/S;Light;F;I;
SF32;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
SF34;Fixed-wing;2T/L;Medium;E;III;5
;;;;;;
;;;;;;
SF35;Fixed-wing;1P/S;Light;F;I;
SF36;Fixed-wing;1P/S;Light;F;I;
;;;;;;
SF50;Fixed-wing;1J/S;Light;F;III;
;;;;;;
SG37;Fixed-wing;1P/S;Light;F;I;
SG70;Fixed-wing;1P/S;Light;F;I;
;;;;;;
SG92;Fixed-wing;1T/S;Light;F;I;
;;;;;;
;;;;;;
SGRA;Fixed-wing;1P/S;Light;F;I;
;;;;;;
SGUP;Fixed-wing;4T/L;Medium;D;III;10
;;;;;;
SH33;Fixed-wing;2T/S+;Medium;F;III;6
;;;;;;
SH36;Fixed-wing;2T/S+;Medium;F;III;6
SH4;Helicopter;1P/S;Light;F;I;
SH5;$Fixed-wing;4T/L;Medium;D;III;HARBIN, PS-5 HARBIN, SH-5
SHAC;Fixed-wing;4P/L;Medium;D;III;AVRO, 696 Shackleton AVRO, Shackleton
SHAK;@Fixed-wing;1P/S;Light;F;I;FREEDOM MASTER, Air Shark FREEDOM MASTER, FM-2 Air Shark
SHAW*;Fixed-wing;1J/S+;Medium;F;III;ARMSTRONG WHITWORTH, Sea Hawk HAWKER, Sea Hawk
SHEA;@Fixed-wing;1P/S;Light;F;I;SEAFLIGHT, Shearwater
SHEK;Fixed-wing;1P/S;Light;F;I;RANS, S-16 Shekari RANS, Shekari
SHER;Fixed-wing;1P/S;Light;F;I;SHERPA, Sherpa SHERPA, Sherpa C-400
SHIP;;;;;;(any manufacturer), Airship
SHOE;Fixed-wing;1P/S;Light;F;I;MERCURY, Shoestring
SHOP;Fixed-wing;1P/S;Light;F;I;SALVAY-STARK, Skyhopper
SHOR;Fixed-wing;1P/S;Light;F;I;HIGHER CLASS, Super Hornet
SHRK;Fixed-wing;1P/S;Light;F;I;SHARK AERO, Shark
SHRT;Fixed-wing;1T/S;Light;F;I;SHERPA, Sherpa K-650T
SIDE;Fixed-wing;1P/S;Light;F;I;SMYTH, S Sidewinder SMYTH, Sidewinder
SIGM;Fixed-wing;1P/S;Light;F;I;ELITAR, Sigma
;;;;;;LUNDS TEKNISKE, SA-60 Silhouette
SILH;Fixed-wing;1P/S;Light;F;I;LUNDS TEKNISKE, Silhouette SILHOUETTE, SA-60 Silhouette
;;;;;;SILHOUETTE, Silhouette
SIR2;Fixed-wing;1P/S;Light;F;I;RHEIN, Sirius 2
;;;;;;TECNAM, P-2002
SIRA;Fixed-wing;1P/S;Light;F;I;TECNAM, P-2002 Sierra
;;;;;;TECNAM, Sierra
;;;;;;EMIVEST, SJ-30
SJ30;Fixed-wing;2J/S+;Light;F;III;SINO SWEARINGEN, SJ-30
;;;;;;SWEARINGEN, SJ-30
SJET;Fixed-wing;1J/S;Light;F;III;EXCEL-JET, Sport-Jet 2
SK10;Fixed-wing;1P/S;Light;F;I;SKYETON, K-10 Swift SKYETON, Swift
SK70;Fixed-wing;2P/S;Light;F;II;STARKRAFT, SK-700
SKAR;Fixed-wing;1P/S;Light;F;I;III, Sky Arrow
SKIF;@Fixed-wing;1P/S;Light;F;I;AEROLITES, AeroSkiff
;;;;;;COLONIAL, C-1 Skimmer
SKIM;@Fixed-wing;1P/S;Light;F;I;COLONIAL, C-2 Skimmer
;;;;;;COLONIAL, Skimmer
SKRA;Fixed-wing;1P/S;Light;F;I;BEST OFF, Sky Ranger SYNAIRGIE , Sky Ranger
SKYC;Fixed-wing;2P/S;Light;F;II;OMA SUD, Skycar
SKYO;Fixed-wing;1P/S;Light;F;I;SKYOTE AEROMARINE, Skyote
;;;;;;COMMONWEALTH (2), 185 Skyranger
;;;;;;COMMONWEALTH (2), Skyranger
SKYR;Fixed-wing;1P/S;Light;F;I;REARWIN, 175 Skyranger REARWIN, 180 Skyranger
;;;;;;REARWIN, 190 Skyranger
;;;;;;REARWIN, Skyranger
SL1;Fixed-wing;1P/S;Light;F;I;STAR-LITE, SL-1 Star-Lite STAR-LITE, Star-Lite
SL39;Fixed-wing;1P/S;Light;F;I;MAPO, SL-39
;;;;;;AVIOTECHNICA, Leshii
SL90;Fixed-wing;1P/S;Light;F;I;AVIOTECHNICA, SL-90 Leshii INTERAVIA, I-1
;;;;;;MAPO, I-1
SLG2;Fixed-wing;1P/S;Light;F;I;AIRPLANE FACTORY, Sling 2
SLG4;Fixed-wing;1P/S;Light;F;I;AIRPLANE FACTORY, Sling 4
SLK3;Fixed-wing;1P/S;Light;F;I;SLICK, 360
SLK5;Fixed-wing;1P/S;Light;F;I;SLICK, 540
SM01;Fixed-wing;1P/S;Light;F;I;STERN-MALLICK, SM-01 Vega STERN-MALLICK, Vega
SM19;Fixed-wing;1T/S;Light;F;I;SIAI-MARCHETTI, SM-1019
SM20;Fixed-wing;1T/S;Light;F;I;TECHNOAVIA, SM-2000
;;;;;;STINSON, SM-6000 Tri-Motor
SM60;Fixed-wing;3P/S;Light;F;III;STINSON, T Tri-Motor
;;;;;;STINSON, Tri-Motor (SM-6000/T)
;;;;;;MORAVAN, Rhino
;;;;;;MORAVAN, Zlin Z-400 Rhino
SM92;Fixed-wing;1P/S;Light;F;I;TECHNOAVIA, Finist TECHNOAVIA, SM-92 Finist
;;;;;;ZLIN, Rhino
;;;;;;ZLIN, Z-400 Rhino
SMAX;@Fixed-wing;1P/S;Light;F;I;AIRMAX, M-22 SeaMax AIRMAX, SeaMax
SMB2*;Fixed-wing;1J/S+;Medium;F;III;DASSAULT, Super Mystère B2
;;;;;;CALUMET, 636 Snobird Adventurer
SNAD;Gyrocopter;1P/S;Light;F;I;CALUMET, Snobird Adventurer SNOBIRD, 636 Snobird Adventurer
;;;;;;SNOBIRD, Snobird Adventurer
;;;;;;DALLAIR, FR-01 Snap
;;;;;;DALLAIR , FR-100 Snap
SNAP;Fixed-wing;1P/S;Light;F;I;DALLAIR , Snap TECNAM, FR-01 Snap
;;;;;;TECNAM, FR-100 Snap
;;;;;;TECNAM, Snap
;;;;;;CIAC, Calima
;;;;;;CIAC, Synergy
SNGY;Fixed-wing;1P/S;Light;F;I;CIAC, T-90 Calima LANCAIR, Calima
;;;;;;LANCAIR, Synergy
;;;;;;LANCAIR, T-90 Calima
